Key,Russian,English,German,Estonian,French,Polish,Turkish,ChineseSimplified
Worker.ChooseExamplesPrompt,Выберите примеры употребления:,Select usage examples:,Wählen Sie Anwendungsbeispiele aus:,Valige kasutusnäited:,Sélectionnez des exemples d'utilisation :,Wybierz przykłady użycia:,Kullanım örneklerini seçin:,选择用法示例:
Worker.CouldNotRecognizeLanguage,Не удалось распознать язык,Could not recognize language,Sprache konnte nicht erkannt werden,Keele tuvastamine ebaõnnestus,Impossible de reconnaître la langue,Nie udało się rozpoznać języka,Dil tanınamadı,无法识别语言
Worker.NativeLanguageSetTo,Родной язык установлен: {0},Native language set to: {0},Muttersprache eingestellt auf: {0},Emakeel määratud: {0},Langue maternelle définie sur : {0},Język ojczysty ustawiony na: {0},Ana dil şu olarak ayarlandı: {0},母语设置为: {0}
Worker.LanguageXAdded,Язык {0} добавлен. Выберите слова через /addword или меню,Language {0} added. Select words via /addword or menu,Sprache {0} hinzugefügt. Wählen Sie Wörter über /addword oder das Menü aus,Keele {0} lisatud. Valige sõnad /addword või menüü kaudu,Langue {0} ajoutée. Sélectionnez des mots via /addword ou le menu,Język {0} dodany. Wybierz słowa za pomocą /addword lub menu,Dil {0} eklendi. /addword veya menü aracılığıyla kelimeleri seçin,已添加语言 {0}。通过 /addword 或菜单选择单词
Worker.EnterThemeToCreateDictionary,"Введите тему, чтобы я создал словарь с новыми словами:",Enter a theme to create a dictionary with new words:,Geben Sie ein Thema ein, damit ich ein Wörterbuch mit neuen Wörtern erstellen kann:,Sisestage teema, et ma saaksin luua uute sõnadega sõnastiku:,Entrez un thème pour que je puisse créer un dictionnaire avec de nouveaux mots :,Wprowadź temat, abym utworzył słownik z nowymi słowami:,Yeni kelimeler içeren bir sözlük oluşturmak için bir tema girin:,输入一个主题，以便我创建一个包含新单词的词典:
Worker.TotalStatisticsHeader,📈 ,📈 ,📈 ,📈 ,📈 ,📈 ,📈 ,📈 
Worker.TotalWords,Всего слов:      ,Total words:      ,Gesamtzahl der Wörter:      ,Sõnade koguarv:      ,Total de mots :      ,Wszystkich słów:      ,Toplam kelime:      ,总词数:      
Worker.FullyLearnedWords,Полностью выучено: ,Fully learned: ,Vollständig gelernt: ,Täielikult õpitud: ,Entièrement appris : ,W pełni nauczone: ,Tamamen öğrenildi: ,完全掌握: 
Worker.WordsInProgress,В процессе:       ,In progress:       ,In Bearbeitung:       ,Töös:       ,En cours :       ,W trakcie:       ,Devam ediyor:       ,进行中:       
Worker.Top10HardestWords,🔟 ,🔟 ,🔟 ,🔟 ,🔟 ,🔟 ,🔟 ,🔟 
Worker.HardWordDisplay,|--> {0}\n |- Повторения: {1}\n |- Коэф. лёгкости: {2}\n |- След. повторение: {3}\n_______________________________,|--> {0}\n |- Repetitions: {1}\n |- Ease Factor: {2}\n |- Next review in: {3}\n_______________________________,|--> {0}\n |- Wiederholungen: {1}\n |- Erleichterungsfaktor: {2}\n |- Nächste Wiederholung: {3}\n_______________________________,|--> {0}\n |- Kordused: {1}\n |- Lihtsuskordaja: {2}\n |- Järgmine kordus: {3}\n_______________________________,|--> {0}\n |- Répétitions : {1}\n |- Facteur de facilité : {2}\n |- Prochaine révision : {3}\n_______________________________,|--> {0}\n |- Powtórzenia: {1}\n |- Współczynnik łatwości: {2}\n |- Następne powtórzenie: {3}\n_______________________________,|--> {0}\n |- Tekrarlar: {1}\n |- Kolaylık Faktörü: {2}\n |- Sonraki tekrar: {3}\n_______________________________,|--> {0}\n |- 重复次数: {1}\n |- 难度系数: {2}\n |- 下次复习: {3}\n_______________________________
Worker.TimeRemainingDaysHours,через {0} д. {1} ч.,in {0} d {1} h,in {0} T {1} Std,{0} p {1} t pärast,dans {0} j {1} h,za {0} d {1} h,{0} g {1} s içinde,{0}天{1}小时后
Worker.TimeRemainingHoursMinutes,через {0} ч. {1} мин.,in {0} h {1} m,in {0} Std {1} Min,{0} t {1} min pärast,dans {0} h {1} min,za {0} h {1} min,{0} s {1} dk içinde,{0}小时{1}分钟后
Worker.NoWords,Нет слов.,No words.,Keine Wörter.,Sõnu pole.,Pas de mots.,Brak słów.,Kelime yok.,没有单词。
Worker.TodayStatisticsHeader,📈 ,📈 ,📈 ,📈 ,📈 ,📈 ,📈 ,📈 
Worker.WordsRepeatedToday,Повторено слов: ,Words repeated: ,Wörter wiederholt: ,Korratud sõnad: ,Mots répétés : ,Powtórzono słów: ,Tekrarlanan kelime sayısı: ,今日重复单词: 
Worker.WordsLearnedToday,Выучено: ,Learned: ,Gelernt: ,Õpitud: ,Appris : ,Nauczono: ,Öğrenildi: ,已学习: 
Worker.HardWordsHeader,📈 ,📈 ,📈 ,📈 ,📈 ,📈 ,📈 ,📈 
Worker.HardWordSimple,- {0},- {0},- {0},- {0},- {0},- {0},- {0},- {0}
Worker.NoActivityToday,Сегодня вы ещё не занимались.,You haven't studied today yet.,Sie haben heute noch nicht gelernt.,Te pole täna veel õppinud.,Vous n'avez pas encore étudié aujourd'hui.,Dzisiaj jeszcze nie uczyłeś się.,Bugün henüz ders çalışmadınız.,您今天还没有学习。
Worker.StatisticsByLanguageHeader,📊 ,📊 ,📊 ,📊 ,📊 ,📊 ,📊 ,📊 
Worker.LanguageStats,\n,\n,\n,\n,\n,\n,\n,\n
Worker.NoDictionaries,У вас нет словарей.,You have no dictionaries.,Sie haben keine Wörterbücher.,Teil pole sõnastikke.,Vous n'avez pas de dictionnaires.,Nie masz słowników.,Sözlüğünüz yok.,您没有词典。
Worker.DictionariesByTopicsHeader,📁 ,📁 ,📁 ,📁 ,📁 ,📁 ,📁 ,📁 
Worker.DictionariesByLanguageHeader,📚 ,📚 ,📚 ,📚 ,📚 ,📚 ,📚 ,📚 
Worker.UnknownLanguage,Неизвестный,Unknown,Unbekannt,Tundmatu,Inconnu,Nieznany,Bilinmeyen,未知
Worker.DictionaryEntry,- {0} ({1}),- {0} ({1}),- {0} ({1}),- {0} ({1}),- {0} ({1}),- {0} ({1}),- {0} ({1}),- {0} ({1})
Worker.AllWordProgressReset,Прогресс по всем словам сброшен,Progress for all words has been reset,Fortschritt für alle Wörter zurückgesetzt,Kõigi sõnade edenemine lähtestati,Progression pour tous les mots réinitialisée,Postęp dla wszystkich słów został zresetowany,Tüm kelimelerin ilerlemesi sıfırlandı,所有单词的进度已重置
Worker.UserProfileHeader,👤 ,👤 ,👤 ,👤 ,👤 ,👤 ,👤 ,👤 
Worker.ProfileId,ID: ,ID: ,ID: ,ID: ,ID : ,ID: ,Kimlik: ,ID: 
Worker.ProfileNativeLanguage,Родной язык: ,Native language: ,Muttersprache: ,Emakeel: ,Langue maternelle : ,Język ojczysty: ,Ana dil: ,母语: 
Worker.ProfileCurrentLanguage,Текущий язык: ,Current language: ,Aktuelle Sprache: ,Praegune keel: ,Langue actuelle : ,Obecny język: ,Mevcut dil: ,当前语言: 
Worker.ProfileLearningMode,Режим обучения: ,Learning mode: ,Lernmodus: ,Õpperežiim: ,Mode d'apprentissage : ,Tryb nauki: ,Öğrenme modu: ,学习模式: 
Worker.ProfileLearningModeMultipleChoice,множественный выбор,multiple choice,Multiple-Choice,Valikvastustega,Choix multiple,Wielokrotny wybór,Çoktan seçmeli,多项选择
Worker.ProfileLearningModeBinary,бинарный,binary,binär,binaarne,binaire,binarny,ikili,二进制
Worker.ProfileStudiedLanguages,Изучаемые языки: {0},Languages studied: {0},Gelernte Sprachen: {0},Õpitud keeled: {0},Langues étudiées : {0},Uczone języki: {0},Öğrenilen diller: {0},学习的语言: {0}
Worker.ProfileNoStudiedLanguages,нет,none,keine,puudub,aucun,brak,hiçbiri,无
Worker.ProfileTotalWords,Всего слов: ,Total words: ,Gesamtzahl der Wörter: ,Sõnade koguarv: ,Total de mots : ,Wszystkich słów: ,Toplam kelime: ,总词数: 
Worker.AllStatsReset,Вся статистика сброшена,All statistics have been reset,Alle Statistiken wurden zurückgesetzt,Kogu statistika on lähtestatud,Toutes les statistiques ont été réinitialisées,Wszystkie statystyki zostały zresetowane,Tüm istatistikler sıfırlandı,所有统计数据已重置
Worker.AdminUsersHeader,👥 Пользователи,👥 Users,👥 Benutzer,👥 Kasutajad,👥 Utilisateurs,👥 Użytkownicy,👥 Kullanıcılar,👥 用户
Worker.AdminUserInfoLine1,ID: ,ID: ,ID: ,ID: ,ID : ,ID: ,Kimlik: ,ID: 
Worker.AdminUserInfoLine2,Native: {0} | Current: {1} | MC: {2},Native: {0} | Current: {1} | MC: {2},Nativ: {0} | Aktuell: {1} | MC: {2},Emakeel: {0} | Praegune: {1} | MC: {2},Natif : {0} | Actuel : {1} | MC : {2},Ojczysty: {0} | Bieżący: {1} | WC: {2},Yerel: {0} | Mevcut: {1} | ÇS: {2},母语: {0} | 当前: {1} | MC: {2}
Worker.AdminUserWords,Words: {0},Words: {0},Wörter: {0},Sõnad: {0},Mots : {0},Słowa: {0},Kelimeler: {0},单词: {0}
Worker.AdminUserDictionaries,Dictionaries: {0},Dictionaries: {0},Wörterbücher: {0},Sõnastikud: {0},Dictionnaires : {0},Słowniki: {0},Sözlükler: {0},词典: {0}
Worker.AdminTotalWords,Total words: {0},Total words: {0},Gesamtzahl der Wörter: {0},Sõnade koguarv: {0},Total de mots : {0},Wszystkich słów: {0},Toplam kelime: {0},总词数: {0}
Worker.AdminWordsByLanguage,{0}: {1},{0}: {1},{0}: {1},{0}: {1},{0} : {1},{0}: {1},{0}: {1},{0}: {1}
Worker.DictionaryEmpty,Словарь пуст.,Dictionary is empty.,Wörterbuch ist leer.,Sõnastik on tühi.,Le dictionnaire est vide.,Słownik jest pusty.,Sözlük boş.,词典为空。
Worker.DictionaryNameHeader,📚 Словарь: {0},📚 Dictionary: {0},📚 Wörterbuch: {0},📚 Sõnastik: {0},📚 Dictionnaire : {0},📚 Słownik: {0},📚 Sözlük: {0},📚 词典: {0}
Worker.DictionaryWordEntry,- {0},- {0},- {0},- {0},- {0},- {0},- {0},- {0}
Worker.DictionaryNameDefault,Общий,General,Allgemein,Üldine,Général,Ogólny,Genel,通用
Worker.DictionaryWordTranslationEntry,{0} — {1},{0} — {1},{0} — {1},{0} — {1},{0} — {1},{0} — {1},{0} — {1},{0} — {1}
Worker.NoWordsInDictionary,В словаре нет слов.,There are no words in the dictionary.,Es gibt keine Wörter im Wörterbuch.,Sõnastikus pole sõnu.,Il n'y a pas de mots dans le dictionnaire.,W słowniku nie ma słów.,Sözlükte kelime yok.,词典中没有单词。
Worker.DictionaryProgressReset,Прогресс словаря сброшен,Dictionary progress has been reset,Wörterbuchfortschritt zurückgesetzt,Sõnastiku edenemine lähtestati,Progression du dictionnaire réinitialisée,Postęp słownika został zresetowany,Sözlük ilerlemesi sıfırlandı,词典进度已重置
Worker.DictionaryDeleted,Словарь удалён,Dictionary deleted,Wörterbuch gelöscht,Sõnastik kustutatud,Dictionnaire supprimé,Słownik usunięty,Sözlük silindi,词典已删除
Worker.HelpHeader,❓ Помощь,❓ Help,❓ Hilfe,❓ Abi,❓ Aide,❓ Pomoc,❓ Yardım,❓ 帮助
Worker.HelpAddWord,/addword - добавить новое слово,/addword - add a new word,/addword - fügen Sie ein neues Wort hinzu,/addword - lisa uus sõna,/addword - ajouter un nouveau mot,/addword - dodaj nowe słowo,/addword - yeni bir kelime ekle,/addword - 添加一个新单词
Worker.HelpMyWords,/mywords - показать все слова,/mywords - show all words,/mywords - zeigen Sie alle Wörter an,/mywords - kuva kõik sõnad,/mywords - afficher tous les mots,/mywords - pokaż wszystkie słowa,/mywords - tüm kelimeleri göster,/mywords - 显示所有单词
Worker.HelpLearn,/learn - начать обучение,/learn - start learning,/learn - beginnen Sie mit dem Lernen,/learn - alusta õppimist,/learn - commencer à apprendre,/learn - rozpocznij naukę,/learn - öğrenmeye başla,/learn - 开始学习
Worker.HelpUseMenu,Используйте меню бота для остальных действий.,Use the bot menu for other actions.,Verwenden Sie das Bot-Menü für andere Aktionen.,Kasutage muude toimingute jaoks boti menüüd.,Utilisez le menu du bot pour d'autres actions.,Użyj menu bota do innych działań.,Diğer eylemler için bot menüsünü kullanın.,使用机器人菜单进行其他操作。
TelegramMessageHelper.WordCardExample,\n\n📘 Пример: {0},\n\n📘 Example: {0},\n\n📘 Beispiel: {0},\n\n📘 Näide: {0},\n\n📘 Exemple : {0},\n\n📘 Przykład: {0},\n\n📘 Örnek: {0},\n\n📘 示例: {0}
TelegramMessageHelper.WordCardCategory,\n🔖 Категория: {0},\n🔖 Category: {0},\n🔖 Kategorie: {0},\n🔖 Kategooria: {0},\n🔖 Catégorie : {0},\n🔖 Kategoria: {0},\n🔖 Kategori: {0},\n🔖 类别: {0}
TelegramMessageHelper.EditButton,✏️ Редактировать,✏️ Edit,✏️ Bearbeiten,✏️ Muuda,✏️ Modifier,✏️ Edytuj,✏️ Düzenle,✏️ 编辑
TelegramMessageHelper.DeleteButton,🗑 Удалить,🗑 Delete,🗑 Löschen,🗑 Kustuta,🗑 Supprimer,🗑 Usuń,🗑 Sil,🗑 删除
TelegramMessageHelper.RepeatButton,🔁 Повторить,🔁 Repeat,🔁 Wiederholen,🔁 Korda,🔁 Répéter,🔁 Powtórz,🔁 Tekrarla,🔁 重复
TelegramMessageHelper.LearnedButton,✅ Выучено,✅ Learned,✅ Gelernt,✅ Õpitud,✅ Appris,✅ Nauczono,✅ Öğrenildi,✅ 已学习
TelegramMessageHelper.EditButtonAlternative,✏️ Изменить,✏️ Change,✏️ Ändern,✏️ Muuda,✏️ Changer,✏️ Zmień,✏️ Değiştir,✏️ 更改
TelegramMessageHelper.BackButton,⬅️ Назад,⬅️ Back,⬅️ Zurück,⬅️ Tagasi,⬅️ Retour,⬅️ Wróć,⬅️ Geri,⬅️ 返回
TelegramMessageHelper.ForwardButton,➡️ Вперед,➡️ Forward,➡️ Vorwärts,➡️ Edasi,➡️ Suivant,➡️ Dalej,➡️ İleri,➡️ 前进
TelegramMessageHelper.WordCardPageIndicator,\n\n📄 {0}/{1},\n\n📄 {0}/{1},\n\n📄 {0}/{1},\n\n📄 {0}/{1},\n\n📄 {0}/{1},\n\n📄 {0}/{1},\n\n📄 {0}/{1},\n\n📄 {0}/{1}
TelegramMessageHelper.ConfirmYesButton,✅ Да,✅ Yes,✅ Ja,✅ Jah,✅ Oui,✅ Tak,✅ Evet,✅ 是
TelegramMessageHelper.ConfirmNoButton,❌ Нет,❌ No,❌ Nein,❌ Ei,❌ Non,❌ Nie,❌ Hayır,❌ 否
TelegramMessageHelper.ConfirmationPrompt,❓ {0},❓ {0},❓ {0},❓ {0},❓ {0},❓ {0},❓ {0},❓ {0}
TelegramMessageHelper.ErrorMessage,❌ ,❌ ,❌ ,❌ ,❌ ,❌ ,❌ ,❌ 
TelegramMessageHelper.SuccessMessage,✅ ,✅ ,✅ ,✅ ,✅ ,✅ ,✅ ,✅ 
TelegramMessageHelper.InfoMessage,ℹ️,ℹ️,ℹ️,ℹ️,ℹ️,ℹ️,ℹ️,ℹ️
Keyboard.MainMenu.MyWords,📚 Мои слова,📚 My words,📚 Meine Wörter,📚 Minu sõnad,📚 Mes mots,📚 Moje słowa,📚 Kelimelerim,📚 我的单词
Keyboard.MainMenu.AddWord,➕ Добавить слово,➕ Add word,➕ Wort hinzufügen,➕ Lisa sõna,➕ Ajouter un mot,➕ Dodaj słowo,➕ Kelime ekle,➕ 添加单词
Keyboard.MainMenu.Statistics,📊 Статистика,📊 Statistics,📊 Statistik,📊 Statistika,📊 Statistiques,📊 Statystyki,📊 İstatistikler,📊 统计
Keyboard.MainMenu.Learn,📖 Учить,📖 Learn,📖 Lernen,📖 Õpi,📖 Apprendre,📖 Ucz się,📖 Öğren,📖 学习
Keyboard.MainMenu.Settings,🌐 Настройки,🌐 Settings,🌐 Einstellungen,🌐 Seaded,🌐 Paramètres,🌐 Ustawienia,🌐 Ayarlar,🌐 设置
Keyboard.MainMenu.Profile,👤 Профиль,👤 Profile,👤 Profil,👤 Profiil,👤 Profil,👤 Profil,👤 Profil,👤 个人资料
Keyboard.MyWordsMenu.ShowAllWords,🔍 Показать все слова,🔍 Show all words,🔍 Alle Wörter anzeigen,🔍 Kuva kõik sõnad,🔍 Afficher tous les mots,🔍 Pokaż wszystkie słowa,🔍 Tüm kelimeleri göster,🔍 显示所有单词
Keyboard.MyWordsMenu.DictionariesByTopics,📁 Словари по темам,📁 Dictionaries by topics,📁 Wörterbücher nach Themen,📁 Sõnastikud teemade kaupa,📁 Dictionnaires par thèmes,📁 Słowniki według tematów,📁 Konulara göre sözlükler,📁 按主题分类的词典
Keyboard.MyWordsMenu.GenerateNewWords,Генерация новых слов,Generate new words,Neue Wörter generieren,Genereeri uusi sõnu,Générer de nouveaux mots,Generuj nowe słowa,Yeni kelimeler üret,生成新词
Keyboard.MyWordsMenu.EditWord,📝 Изменить слово,📝 Edit word,📝 Wort bearbeiten,📝 Muuda sõna,📝 Modifier le mot,📝 Edytuj słowo,📝 Kelimeyi düzenle,📝 编辑单词
Keyboard.MyWordsMenu.DeleteWords,🗑️ Удалить слова,🗑️ Delete words,🗑️ Wörter löschen,🗑️ Kustuta sõnad,🗑️ Supprimer les mots,🗑️ Usuń słowa,🗑️ Kelimeleri sil,🗑️ 删除单词
Keyboard.MyWordsMenu.Back,⬅️ Назад,⬅️ Back,⬅️ Zurück,⬅️ Tagasi,⬅️ Retour,⬅️ Wróć,⬅️ Geri,⬅️ 返回
Keyboard.WordCard.Delete,🗑 Удалить,🗑 Delete,🗑 Löschen,🗑 Kustuta,🗑 Supprimer,🗑 Usuń,🗑 Sil,🗑 删除
Keyboard.WordCard.Repeat,🔁 Повторить,🔁 Repeat,🔁 Wiederholen,🔁 Korda,🔁 Répéter,🔁 Powtórz,🔁 Tekrarla,🔁 重复
Keyboard.WordCard.Favorite,⭐ В избранное,⭐ Add to favorites,⭐ Zu Favoriten hinzufügen,⭐ Lisa lemmikutesse,⭐ Ajouter aux favoris,⭐ Dodaj do ulubionych,⭐ Favorilere ekle,⭐ 添加到收藏夹
Keyboard.Config.SwitchLanguage,🌐 Выбрать язык изучения,🌐 Select study language,🌐 Lernsprache auswählen,🌐 Valige õppekeel,🌐 Sélectionner la langue d'étude,🌐 Wybierz język nauki,🌐 Çalışma dilini seçin,🌐 选择学习语言
Keyboard.Config.AddLanguage,➕ Добавить язык,➕ Add language,➕ Sprache hinzufügen,➕ Lisa keel,➕ Ajouter une langue,➕ Dodaj język,➕ Dil ekle,➕ 添加语言
Keyboard.Config.RemoveLanguage,🔿️ Удалить язык,🔿️ Remove language,🔿️ Sprache entfernen,🔿️ Eemalda keel,🔿️ Supprimer la langue,🔿️ Usuń język,🔿️ Dili kaldır,🔿️ 删除语言
Keyboard.Config.NativeLanguage,🌐 Родной язык,🌐 Native language,🌐 Muttersprache,🌐 Emakeel,🌐 Langue maternelle,🌐 Język ojczysty,🌐 Ana dil,🌐 母语
Keyboard.Config.LearningMode,🎓 Режим обучения,🎓 Learning mode,🎓 Lernmodus,🎓 Õpperežiim,🎓 Mode d'apprentissage,🎓 Tryb nauki,🎓 Öğrenme modu,🎓 学习模式
Keyboard.Config.DisableReminders,🔕 Отключить напоминания,🔕 Disable reminders,🔕 Erinnerungen deaktivieren,🔕 Keela meeldetuletused,🔕 Désactiver les rappels,🔕 Wyłącz przypomnienia,🔕 Hatırlatmaları kapat,🔕 禁用提醒
Keyboard.Config.EnableReminders,🔔 Включить напоминания,🔔 Enable reminders,🔔 Erinnerungen aktivieren,🔔 Luba meeldetuletused,🔔 Activer les rappels,🔔 Włącz przypomnienia,🔔 Hatırlatmaları aç,🔔 启用提醒
Keyboard.Config.Help,❓ Помощь,❓ Help,❓ Hilfe,❓ Abi,❓ Aide,❓ Pomoc,❓ Yardım,❓ 帮助
Keyboard.LearnConfig.BinaryChoice,Вспомнил/Не вспомнил,Remembered/Forgot,Erinnert/Vergessen,Mäletan/Ei mäleta,Rappelé/Oublié,Pamiętam/Nie pamiętam,Hatırladım/Unuttum,记住了/忘记了
Keyboard.LearnConfig.MultipleChoice,Выбор из вариантов,Multiple choice,Multiple-Choice,Valikvastustega,Choix multiple,Wielokrotny wybór,Çoktan seçmeli,多项选择
Keyboard.LearnConfig.BinaryChoiceSelected,✅ Вспомнил/Не вспомнил,✅ Remembered/Forgot,✅ Erinnert/Vergessen,✅ Mäletan/Ei mäleta,✅ Rappelé/Oublié,✅ Pamiętam/Nie pamiętam,✅ Hatırladım/Unuttum,✅ 记住了/忘记了
Keyboard.LearnConfig.MultipleChoiceSelected,✅ Выбор из вариантов,✅ Multiple choice,✅ Multiple-Choice,✅ Valikvastustega,✅ Choix multiple,✅ Wielokrotny wybór,✅ Çoktan seçmeli,✅ 多项选择
Keyboard.Statistics.Today,📅 За сегодня,📅 For today,📅 Für heute,📅 Tänaseks,📅 Pour aujourd'hui,📅 Na dziś,📅 Bugün için,📅 今天
Keyboard.Statistics.TotalProgress,📈 Общий прогресс,📈 Overall progress,📈 Gesamtfortschritt,📈 Üldine edusamm,📈 Progression globale,📈 Całkowity postęp,📈 Genel ilerleme,📈 总体进度
Keyboard.Statistics.ByLanguage,🔍 По языкам,🔍 By language,🔍 Nach Sprachen,🔍 Keele järgi,🔍 Par langue,🔍 Według języków,🔍 Dile göre,🔍 按语言
Keyboard.Profile.UserInfo,👤 Инфо о пользователе,👤 User info,👤 Benutzerinfo,👤 Kasutajainfo,👤 Infos utilisateur,👤 Informacje o użytkowniku,👤 Kullanıcı bilgisi,👤 用户信息
Keyboard.Profile.TodoApp,📝 Todo App,📝 Todo App,📝 Todo-App,📝 Todo rakendus,📝 Application Todo,📝 Aplikacja Todo,📝 Yapılacaklar Uygulaması,📝 待办事项应用
Keyboard.Profile.AdminDashboard,🛠 Admin Dashboard,🛠 Admin Dashboard,🛠 Admin-Dashboard,🛠 Administraatori juhtpaneel,🛠 Tableau de bord administrateur,🛠 Panel administratora,🛠 Yönetici Paneli,🛠 管理仪表板
Keyboard.Profile.ResetStatistics,🔄 Сбросить статистику,🔄 Reset statistics,🔄 Statistiken zurücksetzen,🔄 Lähtesta statistika,🔄 Réinitialiser les statistiques,🔄 Zresetuj statystyki,🔄 İstatistikleri sıfırla,🔄 重置统计数据
Keyboard.DictionaryManage.Edit,✏️ Редактировать,✏️ Edit,✏️ Bearbeiten,✏️ Muuda,✏️ Modifier,✏️ Edytuj,✏️ Düzenle,✏️ 编辑
Keyboard.DictionaryManage.ResetProgress,🔄 Обнулить прогресс,🔄 Reset progress,🔄 Fortschritt zurücksetzen,🔄 Lähtesta edenemine,🔄 Réinitialiser la progression,🔄 Zresetuj postęp,🔄 İlerlemeyi sıfırla,🔄 重置进度
Keyboard.DictionaryManage.Delete,🗑️ Удалить словарь,🗑️ Delete dictionary,🗑️ Wörterbuch löschen,🗑️ Kustuta sõnastik,🗑️ Supprimer le dictionnaire,🗑️ Usuń słownik,🗑️ Sözlüğü sil,🗑️ 删除词典
Keyboard.DictionaryList.DefaultName,Общий,General,Allgemein,Üldine,Général,Ogólny,Genel,通用
Keyboard.DictionaryList.CreateNew,Создать новый,Create new,Neu erstellen,Loo uus,Créer un nouveau,Utwórz nowy,Yeni oluştur,创建新的
Keyboard.TopicDictionary.DeleteDictionaryNoWords,🗑️ Удалить словарь (без слов),🗑️ Delete dictionary (without words),🗑️ Wörterbuch löschen (ohne Wörter),🗑️ Kustuta sõnastik (ilma sõnadeta),🗑️ Supprimer le dictionnaire (sans mots),🗑️ Usuń słownik (bez słów),🗑️ Sözlüğü sil (kelimesiz),🗑️ 删除词典（无单词）
Keyboard.TopicDictionary.DeleteDictionaryAndWords,🗑️ Удалить словарь и слова,🗑️ Delete dictionary and words,🗑️ Wörterbuch und Wörter löschen,🗑️ Kustuta sõnastik ja sõnad,🗑️ Supprimer le dictionnaire et les mots,🗑️ Usuń słownik i słowa,🗑️ Sözlüğü ve kelimeleri sil,🗑️ 删除词典和单词
Keyboard.TopicDictionary.DeleteMultipleWords,🗑️ Удалить несколько слов,🗑️ Delete multiple words,🗑️ Mehrere Wörter löschen,🗑️ Kustuta mitu sõna,🗑️ Supprimer plusieurs mots,🗑️ Usuń wiele słów,🗑️ Birden fazla kelimeyi sil,🗑️ 删除多个单词
Keyboard.TopicDictionaryMenu.DeleteDictionary,🗑️ Удалить словарь,🗑️ Delete dictionary,🗑️ Wörterbuch löschen,🗑️ Kustuta sõnastik,🗑️ Supprimer le dictionnaire,🗑️ Usuń słownik,🗑️ Sözlüğü sil,🗑️ 删除词典
Keyboard.TopicDictionaryMenu.DeleteMultipleWords,🗑️ Удалить несколько слов,🗑️ Delete multiple words,🗑️ Mehrere Wörter löschen,🗑️ Kustuta mitu sõna,🗑️ Supprimer plusieurs mots,🗑️ Usuń wiele słów,🗑️ Birden fazla kelimeyi sil,🗑️ 删除多个单词
Keyboard.TopicDictionaryMenu.Back,⬅️ Назад,⬅️ Back,⬅️ Zurück,⬅️ Tagasi,⬅️ Retour,⬅️ Wróć,⬅️ Geri,⬅️ 返回
Keyboard.ShowTopicDictionaryMenu.Dictionary,Словарь:,Dictionary:,Wörterbuch:,Sõnastik:,Dictionnaire :,Słownik:,Sözlük:,词典:
Keyboard.ShowMainMenu.MainMenu,Главное меню:,Main menu:,Hauptmenü:,Peamenüü:,Menu principal :,Główne menu:,Ana menü:,主菜单:
Keyboard.HideMainMenu.MenuHidden,Меню скрыто.,Menu hidden.,Menü ausgeblendet.,Menüü peidetud.,Menu caché.,Menu ukryte.,Menü gizli.,菜单已隐藏。
Keyboard.ShowConfigMenu.Settings,Настройки:,Settings:,Einstellungen:,Seaded:,Paramètres :,Ustawienia:,Ayarlar:,设置:
Keyboard.ShowMyWordsMenu.MyWords,Мои слова:,My words:,Meine Wörter:,Minu sõnad:,Mes mots :,Moje słowa:,Kelimelerim:,我的单词:
Keyboard.ShowLearnConfig.LearnModePrompt,Режим показа слов при обучении,Word display mode during learning,Wortanzeigemodus während des Lernens,Sõnade kuvamisrežiim õppimise ajal,Mode d'affichage des mots pendant l'apprentissage,Tryb wyświetlania słów podczas nauki,Öğrenirken kelime görüntüleme modu,学习时的单词显示模式
Keyboard.ShowStatisticsMenu.Statistics,Статистика:,Statistics:,Statistik:,Statistika:,Statistiques :,Statystyki:,İstatistikler:,统计:
Keyboard.ShowProfileMenu.Profile,Профиль:,Profile:,Profil:,Profiil:,Profil :,Profil:,Profil:,个人资料:
Worker.ButtonDone,✅ Готово,✅ Done,✅ Fertig,✅ Valmis,✅ Terminé,✅ Gotowe,✅ Bitti,✅ 完成
Worker.ButtonKnowSkip,Знаю/Не показывать,Know/Don't show,Kennen/Nicht anzeigen,Tead/Ära näita,Connaître/Ne pas afficher,Znam/Nie pokazuj,Biliyorum/Gösterme,知道/不显示
Worker.ButtonRemembered,✅ Вспомнил,✅ Remembered,✅ Erinnert,✅ Mäletan,✅ Rappelé,✅ Pamiętam,✅ Hatırladım,✅ 记住了
Worker.ButtonNotRemembered,❌ Не вспомнил,❌ Forgot,❌ Vergessen,❌ Ei mäleta,❌ Oublié,❌ Nie pamiętam,❌ Unuttum,❌ 忘记了
Worker.ButtonCancel,cancel,cancel,Abbrechen,Tühista,Annuler,anuluj,İptal,取消
Worker.ButtonNewTheme,Новый: {0},New: {0},Neu: {0},Uus: {0},Nouveau : {0},Nowy: {0},Yeni: {0},新: {0}
